# Santo del giorno e nomi che festeggiano l'onomastico, per tutti i 366
# giorni. Formato: MM-GG;santo;nomi separati da virgola.
#
# Compilato dalle pagine giorno per giorno di Cathopedia (it.cathopedia.org,
# CC BY-SA) per il santo, e dagli elenchi degli onomastici per i nomi. E' un
# calendario, non cambia: sta qui dentro perche' il servizio funzioni anche
# senza rete.
#
# giorno;santo;nomi
06-23;San Giuseppe Cafasso;Giuseppe,Agrippina,Lanfranco,Zena
06-24;San Giovanni Battista;Giovanni Battista,Giovanni,Giambattista,Eros,Giampiero
06-25;San Guglielmo di Montevergine;Guglielmo,Eraldo,Massimo,Prospero,Massimiliano
06-26;San Cirillo d'Alessandria;Cirillo,Deodato,Lisa
06-27;Sant'Arialdo di Milano;Arialdo,Ladislao,Tosco,Lelio
06-28;Sant'Ireneo di Lione;Ireneo,Eraclide,Attilio
06-29;Santi Apostoli Pietro e Paolo;Pietro,Paolo
06-30;Santi Protomartiri Romani;Ottone
07-01;Beato Antonio Rosmini;Antonio,Arsenio,Divo,Ester,Preziosa
07-02;San Bernardino Realino;Bernardino,Santo,Sante
07-03;San Tommaso apostolo;Tommaso
07-04;Sant'Elisabetta del Portogallo;Elisabetta,Betta,Berta,Ulderico,Piergiorgio
07-05;Sant'Antonio Maria Zaccaria;Antonio,Filomena
07-06;Santa Maria Goretti;Maria,Isaia,Romolo,Domenica
07-07;Beato Benedetto XI;Benedetto,Villibaldo
07-08;Sant'Adriano III;Adriano,Edgardo,Illuminato,Palmiro
07-09;Santa Veronica Giuliani;Veronica,Anatolia,Abbondanza,Carmine,Floriana
07-10;San Canuto IV di Danimarca;Canuto,Michelangelo,Rufino
07-11;San Benedetto da Norcia;Benedetto,Amabile,Olga,Savino
07-12;San Giovanni Gualberto;Giovanni,Ermagora,Fortunato
07-13;Sant'Enrico II;Enrico,Gioele
07-14;San Camillo de Lellis;Camillo
07-15;San Bonaventura da Bagnoregio;Bonaventura,Amerigo,Atanasio,Rolando,Rossana
07-16;Beata Vergine Maria del Monte Carmelo;Maria,Carmelo,Carmen
07-17;Sant'Alessio di Roma;Alessio,Generosa,Teodata
07-18;San Bruno di Segni;Bruno,Federico
07-19;San Simmaco;Simmaco,Giusta,Mila
07-20;Sant'Apollinare di Ravenna;Apollinare,Elia,Geronimo
07-21;San Lorenzo da Brindisi;Lorenzo,Daniele,Danilo
07-22;Santa Maria Maddalena;Maddalena,Maria,Amore
07-23;Santa Brigida di Svezia;Brigida,Apollinare,Vanna,Romola
07-24;Santa Cristina di Bolsena;Cristina,Cecilio
07-25;San Giacomo il Maggiore;Giacomo,Cristoforo,Iacopo,Tea,Valentina
07-26;Santi Gioacchino e Anna;Gioacchino,Anna,Camilla,Annalisa
07-27;San Celestino I;Celestino,Arnaldo,Natalia,Pantaleone,Venere
07-28;San Vittore I;Vittore,Nazario
07-29;Santa Marta di Betania;Marta,Lupo
07-30;San Leopoldo da Castelnuovo;Leopoldo,Abdone
07-31;Sant'Ignazio di Loyola;Ignazio,Daniela,Calimero,Germano,Danila
08-01;Sant'Alfonso Maria de' Liguori;Alfonso,Esmeralda,Ruben,Maristella
08-02;Sant'Eusebio di Vercelli;Eusebio,Alfreda
08-03;Sant'Aspreno di Napoli;Aspreno,Dalmazio,Lidia,Mara,Nicodemo
08-04;San Giovanni Maria Vianney;Giovanni,Agabio,Cherubino
